Spaxid, N2 flux, N2 S/N, Ha flux, Ha S/N, Hb flux, Hb S/N, O3 flux, O3 S/N, S2 6717 flux, S2 6717 S/N, S2 6731 flux, S2 6731 S/N, Ha EW, AGN Flag 
587725980155183238_24_41,0.0569808,14.90557283,0.277542,46.68994765,0.0973832,18.04581711,0.266463,19.611837,0.0451036,13.67905222,0.0359716,11.26133586,60.3909, K03_SF 
587725980155183238_25_41,0.0708206,15.71130084,0.324065,64.61041577,0.113707,20.95658532,0.304368,19.87764862,0.0510081,11.76777084,0.0350417,9.23557908,41.7081, K03_SF 
587725980155183238_26_41,0.0722926,13.22857889,0.309808,55.35979367,0.108705,18.8698746,0.259734,19.02204886,0.0534072,14.98740937,0.0381607,9.003170766,32.4811, K03_SF 
587725980155183238_27_41,0.0998261,14.22365193,0.392595,61.39272433,0.137753,15.89079884,0.300298,17.24662434,0.0813191,14.86791402,0.0574331,12.03992921,25.5392, K03_SF 
587725980155183238_28_41,0.122797,11.44301393,0.411315,51.35188987,0.144321,13.81824032,0.206528,15.47613561,0.087227,15.59750358,0.0618085,9.049532767,19.4641, K03_SF 
587725980155183238_29_41,0.163467,14.74891518,0.467965,46.89339554,0.164198,14.0782538,0.146147,11.52705525,0.0956627,15.41185383,0.0757389,10.91900125,16.796, K03_SF 
587725980155183238_30_41,0.191948,15.63755881,0.489362,40.76868422,0.171706,15.32595616,0.0938751,8.062498979,0.110108,15.13146406,0.0869274,16.83339412,15.1571, K03_SF 
587725980155183238_31_41,0.217748,16.27957233,0.520757,74.75358669,0.182722,14.75446885,0.0775636,7.473011858,0.121333,20.22022399,0.0942842,14.60456306,12.9972, K03_SF 
587725980155183238_32_41,0.233925,16.14574795,0.541866,47.78130106,0.190128,12.26934743,0.067516,5.237996075,0.122683,17.41114598,0.0899291,14.03956567,11.4189, K03_SF 
587725980155183238_33_41,0.277891,18.30496545,0.664338,59.55054989,0.233101,13.02550467,0.0698337,6.401629795,0.160167,19.52579665,0.114765,14.62045529,10.4549, K03_SF 
587725980155183238_34_41,0.324229,18.17858342,0.812386,83.77976537,0.285048,14.65878431,0.0935745,3.146547369,0.173962,18.02987908,0.106867,11.26388945,8.8273, K03_SF 
587725980155183238_35_41,0.385914,15.16058625,0.982949,55.29770498,0.344894,10.58088205,0.127459,5.162621078,0.194922,15.40985028,0.128648,8.961475118,9.63104, K03_SF 
587725980155183238_36_41,0.321669,14.40417079,0.926599,44.75012315,0.325122,9.102842189,0.0809883,3.358593773,0.174608,10.76559346,0.0977149,8.658113481,8.27544, S06_SF 
587725980155183238_38_41,0.349028,12.34410375,0.971547,56.9502287,0.340894,10.90939639,0.0315225,1.011483273,0.142666,9.24986316,0.103368,7.958365389,8.43139, S06_SF 
587725980155183238_39_41,0.219369,13.31442587,0.586389,55.45543703,0.205751,15.72275214,0.0602733,4.778185517,0.0775504,6.801175599,0.0722984,6.250296098,8.91154, S06_SF 
587725980155183238_40_41,0.276885,15.65129374,0.700328,50.42436771,0.245729,9.001038217,0.0894301,3.721298647,0.122641,12.36861446,0.121058,9.293249866,10.0156, K03_SF 
587725980155183238_41_41,0.192183,14.58170165,0.532308,48.86286389,0.186775,8.361404634,0.104138,6.675122515,0.0989796,9.761510077,0.0841702,6.300149564,10.6992, S06_SF 
587725980155183238_42_41,0.164104,12.13577408,0.446878,52.34941558,0.156799,7.010970082,0.0897895,4.56954538,0.0874316,9.657207527,0.0737215,6.991062081,12.0614, K03_SF 
587725980155183238_43_41,0.0918809,10.44184263,0.309787,54.18423993,0.108697,6.503189002,0.0743225,5.856783219,0.0631841,10.92418392,0.0512635,7.488882869,15.4541, S06_SF 
587725980155183238_44_41,0.0611449,6.788689595,0.23358,31.67381075,0.081958,7.243623231,0.0428555,5.081146416,0.0511029,9.531376262,0.0378833,7.294637994,18.7044, S06_SF 
587725980155183238_45_41,0.0394329,6.19583076,0.144873,25.46098433,0.0508325,4.771954381,0.0386488,3.874514953,0.026759,5.496928889,0.0146801,2.775218359,16.1714, S06_SF 
587725980155183238_46_41,0.018716,5.438866618,0.0643691,13.38319023,0.0225856,4.868056242,0.0174488,3.81259183,0.0194908,6.028866065,0.0154699,4.717077178,17.9304, S06_SF 
587725980155183238_47_41,0.0104023,3.365288743,0.0414588,10.31483445,0.0145469,2.979831556,0.0112332,2.777594149,0.00859282,2.696830764,0.00514893,1.68621002,15.636, S06_SF 
587725980155183238_48_41,0.00467126,1.459731778,0.0309659,9.912465773,0.0108652,2.21184236,0.00755708,1.87550068, nan,0.550436607,0.00461994,1.721650361,16.0272, S06_SF 
587725980155183238_18_42,0.00738766,4.524695212,0.0193695,11.69038037,0.00679632,4.899373486,0.0130653,12.59463826,0.0107668,7.153747401,0.00884524,5.547009288,83.7581, K01_SF 
587725980155183238_19_42,0.0185005,6.352711919,0.044115,18.72200054,0.0154789,9.633759974,0.0360289,20.0987351,0.0188929,9.712674693,0.0166403,6.788707571,180.362, K01_SF 
587725980155183238_23_42,0.0574255,14.62227441,0.278702,64.5346501,0.0977903,19.61921299,0.247637,20.18325499,0.0466548,14.23207687,0.035574,11.6543867,65.3981, K03_SF 
587725980155183238_24_42,0.0723874,14.44400035,0.330496,74.42125324,0.115964,35.79622326,0.307004,19.9200818,0.0521051,14.43865073,0.0391864,15.19760874,48.0093, K03_SF 
587725980155183238_25_42,0.0774936,15.98716152,0.326608,76.39407519,0.114599,30.64447913,0.285576,18.68543132,0.053661,19.82998959,0.0387401,12.02453542,39.4832, K01_SF 
587725980155183238_26_42,0.0866697,14.36500643,0.354412,52.83272128,0.124355,21.8048787,0.309984,18.70896219,0.0676973,18.08911471,0.0485866,11.37278556,29.4393, K01_SF 
587725980155183238_27_42,0.0964215,14.7329185,0.359032,67.14529913,0.125976,21.22425376,0.253565,17.61264892,0.0679933,12.54890113,0.0459316,10.39121595,24.2973, K03_SF 
587725980155183238_28_42,0.133838,15.27874812,0.433676,42.56091676,0.152167,19.64467952,0.211967,15.34863154,0.0961528,20.47555134,0.0721824,13.9214841,17.9688, K03_SF 
