Spaxid, N2 flux, N2 S/N, Ha flux, Ha S/N, Hb flux, Hb S/N, O3 flux, O3 S/N, S2 6717 flux, S2 6717 S/N, S2 6731 flux, S2 6731 S/N, Ha EW, AGN Flag 
587725552812228767_49_32,0.0487436,10.36718795,0.232699,56.03266013,0.0816486,14.7509105,0.0989432,14.52959155,0.0695629,17.7727709,0.0447688,12.09708414,25.5026, S06_SF 
587725552812228767_50_32,0.0310785,9.021864057,0.181535,55.04414619,0.0636964,12.64180978,0.0770354,13.46707895,0.0539094,13.22483468,0.0352061,13.03650178,20.6069, S06_SF 
587725552812228767_51_32,0.029995,7.94418643,0.175913,48.84534495,0.0617237,11.87463572,0.0715742,13.02950632,0.0508921,14.42736796,0.0375057,11.31270955,19.1502, S06_SF 
587725552812228767_52_32,0.035886,8.295918855,0.191571,42.26085817,0.0672178,9.386824455,0.0752009,9.240255532,0.05374,9.419939733,0.0458379,10.1745469,20.6179, S06_SF 
587725552812228767_53_32,0.0320156,7.412946544,0.172075,46.45893661,0.0603772,10.08872758,0.058479,8.712699637,0.0522017,13.10292521,0.042671,14.53395945,19.4832, S06_SF 
587725552812228767_54_32,0.0210829,5.230749631,0.120701,29.34629968,0.0423511,9.336463314,0.0353383,7.581487784,0.0417879,8.737309889,0.027527,7.212302503,15.5006, S06_SF 
587725552812228767_55_32,0.0188828,4.988866075,0.10812,28.97098152,0.0379367,6.756991387,0.0253343,4.480986083,0.0421596,12.70268777,0.024072,5.153139264,15.8306, S06_SF 
587725552812228767_56_32,0.0148429,2.467440097,0.110155,22.38461215,0.0386507,4.175606831,0.0247714,2.737985273,0.0401129,8.900481238,0.0164183,3.615559187,13.6607, S06_SF 
587725552812228767_29_33,0.00353866,1.114660374,0.0106402,3.497445938,0.0037334,1.193441911,0.00385713,1.315527022,0.0072537,2.039673778,0.00801954,2.407517015,19.2922, K03_SF 
587725552812228767_30_33,0.00374804,1.107916321,0.0124466,5.31104704,0.00436723,1.622059158,0.00434709,1.338135833,0.0107668,4.20394219, nan,0.766269288,42.516, S06_SF 
587725552812228767_35_33,0.0473415,2.754439367,0.251472,12.69486317,0.0882357,1.936308185,0.117805,2.623129166,0.0521298,3.7755295,0.0279145,1.641975356,20.2438, S06_SF 
587725552812228767_36_33,0.0132426,4.429435847,0.0512912,16.79223032,0.0179969,6.205579629,0.0157211,5.086174033,0.00958052,3.407581332,0.00915505,2.693811495,18.2494, S06_SF 
587725552812228767_37_33,0.0125109,4.495763423,0.0572949,19.28273525,0.0201035,6.857512182,0.0202695,5.02540729,0.0130573,5.46589229,0.0134877,4.902870531,25.2895, S06_SF 
587725552812228767_38_33,0.025509,6.292637541,0.0984432,21.15188335,0.0345415,6.349884719,0.0400197,8.672488098,0.0242017,5.728549875,0.0200189,5.279388757,20.1963, S06_SF 
587725552812228767_39_33,0.0326056,7.041491178,0.125944,22.30696432,0.0441909,8.139171595,0.0514315,10.20455083,0.038663,7.883821723,0.0296102,7.405854791,21.5676, S06_SF 
587725552812228767_40_33,0.0648915,5.966109652,0.27205,31.46692987,0.0954562,8.893916655,0.128124,10.00672648,0.0759785,10.62759733,0.0594162,9.581911609,22.476, S06_SF 
587725552812228767_41_33,0.0651342,9.024120096,0.26458,42.68951074,0.092835,9.964878964,0.0968833,10.49858001,0.0692634,12.0673009,0.0610595,10.59053386,21.6135, S06_SF 
587725552812228767_42_33,0.105555,13.66793868,0.444416,67.96547065,0.155936,12.33860632,0.156778,8.536089276,0.1133,11.71678364,0.0924879,11.59591894,28.2387, S06_SF 
587725552812228767_43_33,0.0778311,11.14497275,0.383002,71.9748269,0.134387,13.30395956,0.13953,14.44604261,0.0964656,21.62526362,0.0643522,13.22860161,30.0683, S06_SF 
587725552812228767_44_33,0.0676991,11.55395572,0.361169,62.62613418,0.126726,21.9758071,0.15109,17.86998146,0.0898415,19.27233991,0.0570202,11.38296277,34.7865, S06_SF 
587725552812228767_45_33,0.0881501,12.82579543,0.480233,76.2545687,0.168503,21.51269451,0.213792,16.80313927,0.116708,20.69309823,0.070652,12.49592848,39.9281, S06_SF 
587725552812228767_46_33,0.0816649,15.56751087,0.420958,106.0472164,0.147705,30.38233409,0.190824,16.54644389,0.101618,29.45512682,0.061682,14.08527541,33.8899, S06_SF 
587725552812228767_47_33,0.0998889,17.90389269,0.505178,96.45359523,0.177256,25.88660019,0.230961,18.1384688,0.131841,27.07652816,0.08388,15.01289151,33.4583, S06_SF 
587725552812228767_48_33,0.0983769,17.53564837,0.482471,88.26312878,0.169288,21.36066122,0.221035,16.59821361,0.13333,30.5362136,0.082888,17.01598769,31.6307, S06_SF 
587725552812228767_49_33,0.0937262,11.67428322,0.439681,80.49249267,0.154274,26.88973488,0.193883,17.03954386,0.122265,25.80807082,0.0767011,18.41869279,26.3904, S06_SF 
587725552812228767_50_33,0.0702511,10.04342244,0.342315,87.06982102,0.12011,16.04176216,0.154167,14.41327849,0.105657,16.41609885,0.0642531,18.57924692,24.4513, S06_SF 
587725552812228767_51_33,0.0562155,11.56970285,0.279532,74.59184036,0.0980816,15.20024794,0.119917,14.5880386,0.0824939,23.20648417,0.0527607,13.23650409,20.29, S06_SF 
587725552812228767_52_33,0.0469105,10.93064274,0.242837,81.5917485,0.085206,13.45399769,0.0927706,14.70659482,0.0736609,21.19254445,0.0524528,13.26968054,19.624, S06_SF 
587725552812228767_53_33,0.0493771,10.41314262,0.228174,49.68899543,0.0800609,10.84601157,0.0838735,11.59355095,0.0680616,17.57930677,0.047049,14.7165687,20.4281, S06_SF 
587725552812228767_54_33,0.0465621,9.527069446,0.204214,36.82327579,0.071654,10.08880782,0.0652379,10.94087922,0.0620455,13.07761122,0.0380928,7.736725215,16.7274, S06_SF 
587725552812228767_55_33,0.0268934,3.987040295,0.133382,23.07800478,0.0468009,6.68115014,0.0384931,4.489850239,0.0471117,10.18932795,0.0297289,6.67751087,14.8326, S06_SF 
587725552812228767_56_33,0.0312667,5.608266317,0.138077,21.91964414,0.048448,4.259010916,0.0351947,3.875366363,0.0515991,9.645498002,0.0270053,5.025843071,14.2056, S06_SF 
587725552812228767_57_33,0.0192828,1.928920567,0.128967,15.85791434,0.0452516,2.421605168,0.0357378,1.976074131,0.0439463,5.013298703,0.0194117,2.488845409,10.6882, S06_SF 
587725552812228767_31_34,0.00217909,1.236828217,0.0119642,7.45878095,0.00419796,2.230648636,0.00354807,1.594062436,0.00683499,3.274787231, nan,0.867499754,65.6365, S06_SF 
587725552812228767_33_34,0.048839,3.705777305,0.249062,13.86027509,0.0873902,2.451185303,0.0843513,1.32130233,0.0654408,5.825237067, nan,0.717568046,21.9304, S06_SF 
587725552812228767_34_34,0.0856082,4.373502561,0.3963,20.68675,0.139053,2.58657577,0.133616,2.332266285,0.0898831,4.451933096,0.0234117,1.055036829,24.7922, S06_SF 
587725552812228767_35_34,0.0273199,6.019088625,0.137515,19.1728105,0.0482509,4.909635329,0.0462225,4.644462525,0.0307259,4.471629915,0.0146166,2.664478054,30.1244, S06_SF 
587725552812228767_36_34,0.0353396,7.676884054,0.140009,26.42842313,0.0491259,7.385609238,0.0516392,6.679550214,0.0271323,5.349279018,0.0217099,4.225139292,21.9097, S06_SF 
587725552812228767_37_34,0.0313864,7.599147192,0.12022,25.86116617,0.0421826,11.28978422,0.047362,10.41687038,0.0276667,6.7323218,0.0245159,6.855115167,19.6038, S06_SF 
587725552812228767_38_34,0.0619966,10.2222527,0.241092,37.99563291,0.0845937,8.899100031,0.0936484,10.98578701,0.0610399,13.32721372,0.0502852,8.425483861,23.0093, S06_SF 
587725552812228767_39_34,0.0693103,9.471142473,0.302161,47.25572035,0.106021,10.56188868,0.123117,11.93747108,0.0841547,12.50852929,0.0554337,9.429787062,22.1847, S06_SF 
587725552812228767_40_34,0.0857332,10.44252313,0.372086,40.42861222,0.130556,11.67223056,0.147945,12.10551267,0.0984604,17.53683624,0.0676545,10.99516902,25.9974, S06_SF 
587725552812228767_41_34,0.111203,12.42557321,0.475264,66.05422422,0.166759,10.48706282,0.185397,13.42053097,0.119076,17.49722258,0.0867907,14.08612201,24.3801, S06_SF 
587725552812228767_42_34,0.105603,11.74286999,0.475257,82.0421208,0.166757,17.79162258,0.177075,12.42412708,0.117033,18.89698428,0.0842253,11.87759849,28.261, S06_SF 
587725552812228767_43_34,0.146633,17.51081402,0.664079,106.542417,0.23301,23.05821612,0.2396,16.10407131,0.155005,26.63741958,0.111239,18.35552055,33.4315, S06_SF 
587725552812228767_44_34,0.135611,17.93659195,0.649874,110.0363462,0.228026,34.38126357,0.252001,18.66134119,0.1522,23.78889384,0.104611,18.82787929,38.5869, S06_SF 
587725552812228767_45_34,0.141032,17.74363035,0.6899,114.2451952,0.24207,22.94070218,0.291657,20.33940226,0.166759,32.88481317,0.109311,24.25472251,37.7487, S06_SF 
587725552812228767_46_34,0.153143,19.66981102,0.750887,135.4296732,0.263469,29.87424938,0.333685,19.21334299,0.17278,35.83087905,0.111681,23.64127929,39.0607, S06_SF 
587725552812228767_47_34,0.165009,18.77512394,0.818517,83.24528637,0.287199,34.30396393,0.375683,19.30589641,0.190824,32.08633609,0.123335,24.76863886,38.1314, S06_SF 
587725552812228767_48_34,0.165515,19.0367441,0.779317,115.8329077,0.273445,28.14078468,0.351484,18.5998147,0.196918,36.72668899,0.127611,24.68193691,34.7011, S06_SF 
587725552812228767_49_34,0.121919,17.07740552,0.595904,116.844718,0.209089,28.10862991,0.268259,17.04741813,0.157296,30.49927394,0.0983827,18.36573592,26.9863, S06_SF 
587725552812228767_50_34,0.0970988,15.99328386,0.467742,71.43178977,0.16412,20.27929023,0.205817,16.87269538,0.137272,34.65062529,0.0878653,22.81047405,25.8891, S06_SF 
587725552812228767_51_34,0.0730177,15.00049277,0.353965,112.2995939,0.124198,24.24570249,0.140633,14.66312959,0.108372,27.42662416,0.0707986,21.69397914,21.7068, S06_SF 
587725552812228767_52_34,0.053523,12.3109073,0.250148,70.85337604,0.0877712,22.45392642,0.0895617,14.06618554,0.0764351,16.58959452,0.0457824,14.48378857,22.2398, S06_SF 
587725552812228767_53_34,0.0422096,9.63098394,0.194582,64.8045339,0.0682742,19.7144298,0.0640069,11.49316602,0.0599049,18.69178909,0.0361645,13.13341305,18.3829, S06_SF 
587725552812228767_54_34,0.0465129,8.31533089,0.217603,44.19730875,0.0763521,11.72062071,0.0730149,12.29790608,0.0623676,16.30502319,0.0378401,10.15432784,17.2198, S06_SF 
587725552812228767_55_34,0.0333818,8.15010977,0.16729,27.45315369,0.0586982,6.848021532,0.0497575,6.372707104,0.0501052,11.98447166,0.0283005,5.736133206,14.4834, S06_SF 
587725552812228767_56_34,0.0388524,6.225691084,0.147393,21.55299598,0.0517167,3.756390691,0.0427807,3.954248062,0.0512623,8.831160282,0.0301838,6.307708708,12.4196, S06_SF 
587725552812228767_57_34,0.031076,3.428453948,0.0960935,16.83001048,0.033717,3.825742206,0.0200125,1.965876953,0.0382971,7.137088614,0.0209132,3.662644416,9.83182, S06_SF 
587725552812228767_29_35,0.00667508,1.767289868,0.0238004,6.321358065,0.00835102,1.576170491,0.0121044,2.418806024,0.0155877,5.052701978,0.00612552,1.261439969,43.3604, K03_SF 
587725552812228767_31_35,0.00338613,1.367233658,0.024982,11.47112074,0.00876563,3.335716012,0.0103992,2.799390044,0.0160926,6.772983535,0.013509,3.986057984,44.3655, S06_SF 
587725552812228767_32_35,0.0179962,4.165915488,0.0852688,16.39370929,0.0299189,3.609337389,0.027434,2.501902384,0.025106,6.196562253,0.00738186,1.624071526,24.6056, S06_SF 
587725552812228767_33_35,0.017878,5.579618854,0.0881666,23.75791058,0.0309357,7.489999985,0.0299111,5.382649057,0.0243466,8.040534358,0.00665515,1.846348911,27.9273, S06_SF 
587725552812228767_34_35,0.0598493,8.012265448,0.232269,40.29806779,0.0814979,8.729468754,0.0861033,7.819655496,0.0537222,8.831137981,0.0235102,3.372896714,24.7463, S06_SF 
587725552812228767_35_35,0.0393922,8.396268901,0.173637,35.79484579,0.0609251,10.49230716,0.0624061,8.872165608,0.0397057,8.343464503,0.0203677,4.775591655,23.5864, S06_SF 
587725552812228767_36_35,0.0241396,9.085611161,0.115076,33.80705799,0.0403775,14.33244169,0.0397326,11.63586334,0.0252746,6.687021347,0.0175414,5.898874433,20.9603, S06_SF 
587725552812228767_37_35,0.0442269,9.691948149,0.19812,36.25930291,0.0695156,15.54385221,0.0653551,11.28879493,0.0424045,10.28989815,0.0354771,8.285337959,21.6608, S06_SF 
587725552812228767_38_35,0.0762557,11.19079586,0.330121,59.05170416,0.115832,11.41890673,0.120881,12.17042195,0.0909369,17.108359,0.0675022,14.53817033,22.5111, S06_SF 
587725552812228767_39_35,0.144296,13.38486735,0.584084,68.94254612,0.204942,14.85082583,0.208004,14.02870059,0.149762,18.95857338,0.108454,16.93583295,22.5172, S06_SF 
587725552812228767_40_35,0.153832,14.49453029,0.624359,75.72149688,0.219073,17.25683315,0.219466,13.37561661,0.153603,21.82800172,0.109736,17.73762531,25.9259, S06_SF 
587725552812228767_41_35,0.148322,16.27534915,0.578201,85.52634673,0.202877,18.96454865,0.189476,14.06814553,0.134466,23.84603502,0.0993499,14.31958401,27.6214, S06_SF 
587725552812228767_42_35,0.189541,19.27949455,0.794757,99.75141545,0.278862,20.39289088,0.245564,12.32817856,0.182162,25.37480386,0.14032,17.30266906,30.3621, S06_SF 
587725552812228767_43_35,0.16107,19.30069353,0.713259,137.6181421,0.250266,26.44079647,0.240631,16.51119238,0.170782,32.98498794,0.120308,26.53873407,33.6541, S06_SF 
587725552812228767_44_35,0.189659,19.75447069,0.885053,200.8820782,0.310545,33.50527378,0.332109,19.47318762,0.206326,49.68386747,0.135604,27.94109028,36.3766, S06_SF 
587725552812228767_45_35,0.182491,22.75731882,0.89019,150.443361,0.312348,46.12731608,0.35319,19.97265446,0.205718,39.39626718,0.132168,25.32967019,38.4683, S06_SF 
587725552812228767_46_35,0.193517,21.69201724,0.960294,154.5984497,0.336945,33.34422499,0.397273,20.54211134,0.22079,45.60840059,0.142661,32.45657201,39.4061, S06_SF 
587725552812228767_47_35,0.194342,21.03527814,0.973153,166.0613493,0.341457,32.17742509,0.424922,21.06513806,0.230261,27.75383307,0.155062,32.04354439,38.6898, S06_SF 
587725552812228767_48_35,0.175277,19.96352979,0.867988,134.3287743,0.304557,36.98004031,0.393254,19.56944583,0.205718,36.64626887,0.139241,33.87270597,37.9146, S06_SF 
587725552812228767_49_35,0.149301,20.52066576,0.711155,137.6989178,0.249528,31.72414481,0.300807,18.42988292,0.18703,32.84829302,0.129298,25.63116337,30.3456, S06_SF 
587725552812228767_50_35,0.122815,18.17361054,0.569955,139.0789187,0.199984,33.94327204,0.232929,17.41069776,0.161265,33.70996545,0.109111,25.47964839,25.3964, S06_SF 
587725552812228767_51_35,0.0940732,16.54554324,0.428828,124.4182252,0.150466,31.96744246,0.162009,18.21045253,0.129405,24.77911184,0.087568,22.73589364,23.8115, S06_SF 
587725552812228767_52_35,0.061623,13.01299093,0.282309,91.52271595,0.0990559,29.94883908,0.0921653,16.98394152,0.0843698,21.43596706,0.0531103,15.5109305,22.5638, S06_SF 
587725552812228767_53_35,0.0484307,9.456076283,0.221281,61.9168083,0.0776425,18.07292789,0.0679276,13.30241759,0.0718099,27.55802535,0.0442926,12.72852619,19.8911, S06_SF 
587725552812228767_54_35,0.0516099,9.64388298,0.225023,47.31857348,0.0789555,15.08995214,0.0731609,12.40066668,0.0671292,17.52124974,0.0392812,11.37178978,18.496, S06_SF 
587725552812228767_55_35,0.0714336,8.82439298,0.252383,42.63228549,0.0885554,8.346502104,0.0933202,9.759507014,0.0793843,15.12108526,0.043927,8.076885851,15.3582, S06_SF 
587725552812228767_56_35,0.0586845,7.649492126,0.19906,26.48877677,0.0698458,4.565556517,0.0648497,4.292554375,0.0686202,9.896922633,0.0441233,7.670491302,12.9115, S06_SF 
587725552812228767_57_35,0.0258451,4.364312025,0.0794858,13.82871255,0.0278897,4.243214445,0.0128734,1.664009088,0.0333642,5.939805885,0.0175037,3.549374787,10.2999, S06_SF 
587725552812228767_29_36,0.00491766,1.39441799,0.0234983,7.212806508,0.00824502,2.51195594,0.00894687,3.175365346,0.0210598,6.796896892,0.00979352,3.326626476,37.2495, S06_SF 
587725552812228767_30_36,0.0133894,3.102970186,0.05737,19.50720374,0.0201298,3.87571496,0.0177348,3.375113924,0.0275382,8.742507253,0.00566514,2.021425574,20.5305, S06_SF 
587725552812228767_31_36,0.0168138,3.890234479,0.0769303,22.02580395,0.0269931,8.385945913,0.0249886,5.780399654,0.0265605,7.888113271,0.00649874,2.195916944,24.6909, S06_SF 
587725552812228767_32_36,0.0399139,7.313558554,0.168139,38.27052347,0.058996,7.59749749,0.0633225,6.097168104,0.0437183,12.24846874,0.0157872,4.17438962,24.2061, S06_SF 
587725552812228767_33_36,0.044012,12.15356317,0.181615,41.07270178,0.0637245,10.98089912,0.0654518,9.529666532,0.0466461,14.45410568,0.0204269,6.230609951,24.819, S06_SF 
587725552812228767_34_36,0.0325517,9.247597562,0.161733,43.41961239,0.0567484,14.26224301,0.0562739,12.47022479,0.0419724,11.35272085,0.0184807,5.795333031,24.4996, S06_SF 
587725552812228767_35_36,0.0696526,13.82302414,0.325139,53.94690899,0.114084,12.31950903,0.111603,13.16128479,0.0806047,19.38221957,0.0423941,8.795795917,26.3964, S06_SF 
587725552812228767_36_36,0.0825675,13.2155304,0.377582,80.78851069,0.132485,21.1360871,0.127513,13.78416585,0.0960512,17.0333686,0.0606957,14.60700346,27.0843, S06_SF 
587725552812228767_37_36,0.149229,16.28116842,0.615165,101.2258108,0.215847,15.40072521,0.188128,15.25485936,0.144483,27.87960068,0.101655,20.29084908,27.3911, S06_SF 
587725552812228767_38_36,0.166053,17.79934248,0.686569,91.96339122,0.240901,20.39029027,0.204091,14.82063979,0.174463,25.4474709,0.126893,19.3257553,25.2426, S06_SF 
587725552812228767_39_36,0.166075,15.26594964,0.6975,84.04782007,0.244737,23.36549361,0.215141,13.77656646,0.18363,26.19449586,0.135427,21.71733195,25.1634, S06_SF 
587725552812228767_40_36,0.215598,19.18578809,0.85928,112.8595471,0.301502,21.50677842,0.262171,15.24831335,0.201555,27.45888003,0.143454,18.93617511,25.106, S06_SF 
587725552812228767_41_36,0.191169,21.75652558,0.791697,121.9557667,0.277788,25.36752005,0.238769,15.79611429,0.190528,24.16403975,0.13771,22.29087962,25.3239, S06_SF 
587725552812228767_42_36,0.220259,21.31792661,0.91805,142.8508939,0.322123,25.99800001,0.262649,15.66150044,0.194675,28.88689517,0.127912,20.26650427,28.0814, S06_SF 
587725552812228767_43_36,0.22282,23.79637697,0.97088,175.3114951,0.34066,36.96095067,0.308359,17.28545874,0.216605,37.26218262,0.140338,28.3914363,31.4254, S06_SF 
587725552812228767_44_36,0.234259,22.58866341,1.08695,174.141699,0.381386,52.1583807,0.379091,21.13645366,0.238808,41.01101621,0.157094,27.63313335,31.2645, S06_SF 
587725552812228767_45_36,0.259142,20.72555365,1.21972,148.0297863,0.427973,44.81290884,0.457794,19.30008949,0.281063,56.17721837,0.177726,38.71837108,38.557, S06_SF 
587725552812228767_46_36,0.251951,21.65433573,1.21053,218.5696902,0.424746,43.76534983,0.484712,20.39292771,0.279396,42.47037937,0.177249,36.7803444,38.0484, S06_SF 
587725552812228767_47_36,0.213073,19.98987904,1.10926,190.7042346,0.389215,55.91103974,0.441072,20.84981778,0.258599,51.39323159,0.171725,32.8855824,37.7413, S06_SF 
587725552812228767_48_36,0.181511,20.32451269,0.927821,164.8455335,0.325551,47.73990915,0.381849,19.93282387,0.225178,48.74159908,0.155968,37.44938015,32.676, S06_SF 
587725552812228767_49_36,0.166434,19.51540645,0.793989,155.4921799,0.278593,47.89590111,0.318186,18.08961104,0.207971,46.14809737,0.148565,33.63816292,30.1173, S06_SF 
587725552812228767_50_36,0.132623,17.96043163,0.59987,139.548543,0.210481,32.86501188,0.226459,18.66596315,0.166437,33.7407467,0.122093,25.58002011,27.1947, S06_SF 
587725552812228767_51_36,0.103367,16.44613906,0.465964,115.9106632,0.163496,41.78671031,0.15901,16.39860406,0.140372,33.36389706,0.0990776,25.02841537,25.3188, S06_SF 
587725552812228767_52_36,0.0670014,14.13016799,0.282223,91.87812436,0.0990256,25.83187575,0.087853,12.19228667,0.0896424,25.97698769,0.060724,18.0964882,20.5306, S06_SF 
587725552812228767_53_36,0.0516884,12.58158507,0.209744,76.6067007,0.0735944,21.82451799,0.0614798,13.86477184,0.0671008,22.75419385,0.0411815,14.63525149,17.466, S06_SF 
587725552812228767_54_36,0.0501716,8.998272199,0.208881,56.76861934,0.0732915,12.90226401,0.0688342,11.66432282,0.0707563,16.46014594,0.0434009,10.49230364,15.323, S06_SF 
587725552812228767_55_36,0.0317456,6.61278103,0.143558,30.37867426,0.0503713,9.175864222,0.0480873,7.820640547,0.0465771,13.66597302,0.0274104,9.170435472,14.101, S06_SF 
587725552812228767_56_36,0.0571007,5.322702349,0.203504,23.32922757,0.0714047,4.380862535,0.0693043,3.887006435,0.0752748,9.369278076,0.0496196,6.340668778,12.151, S06_SF 
587725552812228767_57_36,0.0443493,4.066674802,0.14554,14.00644121,0.0510667,2.294441375,0.0366486,1.614928457,0.0653928,6.62700416,0.0312945,3.81471704,9.81425, S06_SF 
587725552812228767_29_37,0.0209207,2.333083116,0.164384,20.51866278,0.0576785,2.744169179,0.0492306,3.197633399,0.0504548,5.724423729, nan,-1.107788314,53.2873, S06_SF 
587725552812228767_30_37,0.0499231,6.821738987,0.235453,33.11755311,0.082615,5.754478941,0.0886728,7.130268322,0.0789433,11.10097876,0.0239849,4.171448894,29.8247, S06_SF 
587725552812228767_31_37,0.0463295,7.620351229,0.240702,41.57123865,0.0844568,11.15683463,0.0901958,9.285292986,0.0696531,11.99048667,0.0277522,6.203701595,24.4791, S06_SF 
587725552812228767_32_37,0.0419978,7.701056553,0.227613,44.1204933,0.0798643,13.0291643,0.0842267,11.7295805,0.0626055,16.06733509,0.0247702,5.691752676,26.3432, S06_SF 
587725552812228767_33_37,0.0508024,12.96954654,0.257155,58.46286644,0.0902297,19.01556986,0.0901899,12.96334747,0.0700606,17.16708878,0.0318889,7.119705734,26.5351, S06_SF 
587725552812228767_34_37,0.0838719,11.53479591,0.393566,66.39060853,0.138093,19.40747859,0.141943,15.64135433,0.11107,20.70237661,0.0595658,11.82288707,28.1929, S06_SF 
587725552812228767_35_37,0.148779,17.30391912,0.633999,99.7840032,0.222456,23.33077232,0.207179,16.41661427,0.158621,32.53666174,0.0930424,19.2726378,29.8856, S06_SF 
587725552812228767_36_37,0.189788,20.68007302,0.81589,112.4663922,0.286277,32.77063366,0.25345,16.86041224,0.198094,32.43770093,0.130372,21.17933524,26.4866, S06_SF 
587725552812228767_37_37,0.204921,20.17634815,0.894421,112.8534096,0.313832,30.23590424,0.266778,17.53296703,0.218568,35.62194798,0.145779,22.01463935,26.915, S06_SF 
587725552812228767_38_37,0.231445,19.43437248,0.947956,121.2467727,0.332616,31.37046886,0.26723,16.29388099,0.236969,50.1519457,0.166769,27.89115902,24.5675, S06_SF 
587725552812228767_39_37,0.247629,18.06017965,0.998381,86.12319281,0.350309,25.28081404,0.292471,18.52407433,0.253546,29.679651,0.18092,26.58382037,22.9077, S06_SF 
587725552812228767_40_37,0.267698,21.70764087,1.02691,109.9390723,0.360318,28.261157,0.279031,14.52173605,0.247778,31.51441335,0.175058,23.19716872,22.8407, S06_SF 
587725552812228767_41_37,0.284029,23.79233403,1.08858,128.4643901,0.381956,30.20805985,0.294572,15.22377478,0.266516,25.96585069,0.193316,28.61382104,23.6831, S06_SF 
587725552812228767_42_37,0.312163,22.92708383,1.2513,135.1697005,0.439052,35.42317442,0.357554,17.53336437,0.289722,36.17291014,0.206214,24.13831581,26.1311, S06_SF 
587725552812228767_43_37,0.29826,22.69300846,1.27504,174.3010756,0.447381,50.58864018,0.388863,18.41762163,0.287395,47.63058075,0.197948,32.13928148,29.2236, S06_SF 
587725552812228767_44_37,0.301704,23.5627098,1.36085,211.4337896,0.477491,36.36609026,0.45595,20.6895888,0.304592,47.03278473,0.202044,43.46843299,31.8416, S06_SF 
587725552812228767_45_37,0.273888,20.42715442,1.30957,172.8389175,0.459498,40.93202766,0.463371,21.3394681,0.293774,43.34993312,0.194923,32.02933093,37.4204, S06_SF 
587725552812228767_46_37,0.2586,20.90118584,1.2708,232.984917,0.445894,42.81143104,0.474882,20.09187072,0.288398,42.98973971,0.189318,39.28239702,36.0376, S06_SF 
587725552812228767_47_37,0.242175,18.90261831,1.25824,177.691861,0.441487,51.5049443,0.485661,19.70109841,0.29501,37.76052771,0.182588,35.21870109,35.3323, S06_SF 
587725552812228767_48_37,0.210451,18.81403233,1.06949,160.5598341,0.375258,47.01713977,0.414961,20.50505077,0.262988,44.90113987,0.179278,36.64317452,33.5046, S06_SF 
587725552812228767_49_37,0.183191,18.35488337,0.903699,117.2246361,0.317088,42.08126657,0.352973,18.5382382,0.227911,45.64790616,0.166243,22.15576003,30.3447, S06_SF 
587725552812228767_50_37,0.129119,19.16405228,0.583099,91.19319306,0.204596,36.98748363,0.207196,17.87981824,0.164414,27.55563538,0.122381,26.42124224,24.4403, S06_SF 
587725552812228767_51_37,0.106955,17.22368988,0.453655,108.9371946,0.159177,28.67045736,0.14642,15.01553966,0.134146,28.14011645,0.0983555,21.59812223,21.9164, S06_SF 
587725552812228767_52_37,0.0726008,13.15789986,0.295101,73.44316786,0.103544,23.0171287,0.088526,14.21222383,0.0976967,23.1952818,0.0666187,12.65361213,18.8989, S06_SF 
587725552812228767_53_37,0.0453102,13.64979366,0.180783,67.62751607,0.0634326,21.49883796,0.0520656,12.93893653,0.0609914,15.10943194,0.0394375,11.55299663,18.0817, S06_SF 
587725552812228767_54_37,0.048622,8.144262393,0.188059,37.38006869,0.0659855,12.5166138,0.0610629,8.330658656,0.0666093,17.21631803,0.0412178,11.67938691,15.3511, S06_SF 
587725552812228767_55_37,0.0250188,6.126074912,0.117298,30.84424684,0.0411572,7.915382913,0.0397125,5.942857832,0.0421476,10.29251755,0.0244879,6.3356129,12.2784, S06_SF 
587725552812228767_56_37,0.0333964,4.512505696,0.142707,21.23639443,0.0500726,3.51645257,0.045775,4.135284421,0.0551697,10.89130694,0.0354943,6.585341439,10.6632, S06_SF 
587725552812228767_57_37,0.0270902,2.285990433,0.129915,9.875783524,0.0455844,1.299828519,0.0182605,1.083053997,0.0665022,6.576010673,0.0268792,3.160457095,8.85149, S06_SF 
587725552812228767_28_38,0.0821007,3.315666,0.457842,19.60345928,0.160646,1.717322986,0.222121,2.68460828,0.151836,5.315736891,0.0592592,2.434214285,19.3685, S06_SF 
587725552812228767_29_38,0.0516904,5.865302515,0.267998,34.52716365,0.0940344,4.45424988,0.0932984,4.929682756,0.0806962,9.486569222,0.0365302,4.491243663,21.4803, S06_SF 
587725552812228767_30_38,0.0547782,8.797539103,0.270201,50.73253666,0.0948074,9.008324762,0.0963388,9.929253121,0.0747216,12.48661246,0.0315237,5.74264707,25.3762, S06_SF 
587725552812228767_31_38,0.0467886,6.418389493,0.273767,41.75939455,0.0960587,14.67984754,0.105073,11.11578536,0.0734761,12.27332163,0.0341979,6.503254845,27.9833, S06_SF 
587725552812228767_32_38,0.0812749,9.474014637,0.436416,66.77004828,0.153129,16.19542103,0.17015,11.27827091,0.12317,16.80189412,0.0599736,8.201656492,25.4169, S06_SF 
587725552812228767_33_38,0.0817587,14.14434698,0.406792,90.03681114,0.142734,20.8840291,0.15414,17.21502909,0.111403,24.04053641,0.0670934,14.86595777,24.6562, S06_SF 
